slang,formal
cuex,cuek
cuman,hanya
cumi,cuma miscall
cups,culun
curang,tidak jujur
curanmor,pencurian kendaraan bermotor
curcol,curahan hati colongan
cust,pelanggan
cwek,cewek
cyin,cinta
cz,karena
d,di
dabest,terbaik luar
daftar,daftar akun
dah,sudah
dancuk,umpatan sangat
dapet,dapat
darah tinggi,sangat menjengkelkan membuat emosi marah
darting,sangat membuat
de,adik
de best,terbaik luar
deh,sudah
dek,adik
del,hapus
delay,tertunda
delete,hapus
demen,suka
denda,denda tunggakan
deteksi wajah,pemindaian verifikasi wajah biometrik
dev amatir,pengembang dinilai kurang kompeten buruk
developer tidur,pengembang dinilai tidak bekerja lambat respon
deyh,deh
dftar,daftar akun
dg,dengan
dgn,dengan
diancurin,dihancurkan
dimaafin,dimaafkan
dimana2,dimana-mana
dimintak,diminta
dimna,dimana
dirujuk,rujukan
dislike,tidak suka buruk
disono,di sana
dket,dekat
dkk,dan kawan-kawan
dl,unduh
dll,dan lain-lain
dlm,dalam
dlu,dulu
dm,pesan langsung
dmn,dimana
dngn,dengan
dnk,dong
doang,hanya
dodol,bodoh
dok,dokter
dokter,dokter
dokter libur,jadwal praktik
dokter tidak ada,jadwal praktik
doku,uang
dongkol,sangat dongkol
dongkoll,sangat dongkol
dongs,dong
donk,dong
donlod,unduh
donlot,unduh
down,server mati
downgrade,kecewa minta pengembalian ke versi aplikasi lama
download,unduh
downn,server mati
dpt,dapat
dr,dari
drg,dokter gigi
dri,dari
drmn,darimana
drtd,dari tadi
dst,dan seterusnya
dtg,datang
duh,aduh
duit hilang,saldo berkurang tidak masuk
duit kepotong,saldo terpotong berkurang
dungu,sangat bodoh
duren,durian
e toll,kartu tol elektronik
e-id,kartu digital
e-money,kartu mandiri emoney
ed,edisi
efektif,efektif
efisien,sangat cepat
egp,emang gue pikirin
eid,kartu digital
eke,aku
elek,sangat jelek
elek tenan,sangat jelek
elu,anda
email tidak masuk,verifikasi email
emang,memang
emangnya,memangnya
emg,memang
emng,memang
emoney,kartu mandiri emoney
emosi,sangat emosi
endak,tidak
enek,sangat muak
enggak,tidak
ente,anda
envy,iri
eror,error
erorr,error
err,error
errorr,mengalami error
etoll,kartu tol elektronik
ex,mantan
face id,autentikasi pengenalan wajah biometrik
faceid,autentikasi pengenalan wajah biometrik
faedah,bermanfaat
fake,palsu bohong
faskes,fasilitas kesehatan
faskes 1,fasilitas kesehatan
faskes lanjutan,rumah sakit
faskes penuh,kuota fasilitas
faskes tk 1,fasilitas kesehatan
faskes tk1,fasilitas kesehatan
fax,facsimile
fc,aplikasi keluar tertutup sendiri error
fiesta poin,poin loyalitas mandiri
fiestapoin,poin loyalitas mandiri
fifo,first in first out
finger print,autentikasi sidik jari biometrik
fingerprint,autentikasi sidik jari biometrik
fitur lengkap,layanan dan fitur sangat lengkap
fkrtl,rumah sakit
fktp,fasilitas kesehatan
folbek,follow back
force close,aplikasi keluar tertutup sendiri error
forceclose,aplikasi keluar tertutup sendiri error
freeze,aplikasi macet berhenti merespon
freezeee,layar membeku
fyi,sebagai informasi
ga,tidak
ga guna,tidak guna
gaada,tidak ada uang
gabener,tidak benar
gabisa,tidak bisa
gabnr,tidak benar
gabsa,tidak bisa
gada,tidak ada
gag,tidak
gagal kirim,transaksi pengiriman gagal
gaje,tidak jelas
gajebo,tidak jelas
gajelas,tidak jelas
gak,tidak
gak guna,tidak guna
gakda,tidak ada
gakk,tidak
gamau,tidak mau
gampang,sangat mudah
gampang bgt,sangat mudah digunakan praktis
gampangg,sangat mudah
gan,tuan
ganti device,aktivasi akun perangkat handphone baru
ganti dokter,perubahan dokter
ganti email,perubahan alamat
ganti faskes,perubahan fasilitas
ganti hp,aktivasi akun perangkat handphone baru
ganti hp baru,aktivasi akun perangkat handphone baru
ganti no,pembaruan nomor telepon terdaftar
ganti no hp,perubahan nomor
ganti nomor,pembaruan nomor telepon terdaftar
ganti nomor hp,perubahan nomor
gapapa,tidak apa-apa
gapapah,tidak apa-apa
gaptek,gagap teknologi
gatau,tidak tahu
gatek,gagap teknologi
gausa,tidak perlu
gausah,tidak perlu
gawe,kerja
gbisa,tidak bisa
gblg,sangat bodoh
gblk,sangat bodoh
gblok,buruk bodoh
gblokk,buruk bodoh
gbs,tidak bisa
gbsa,tidak bisa
gda,tidak ada
gebetan,orang yang disuka
geblek,sangat bodoh
