slang,formal
sampah banget,sangat buruk
sampe,sampai
samsek,sama sekali
sapa,siapa
sapose,siapa
sat set,sangat cepat efisien praktis
satpam,satuan pengamanan
satset,sangat cepat efisien praktis
satsett,sangat cepat
save,simpan
sayaa,saya
sbb,sebagai berikut
sbelum,sebelum
sbg,sebagai
sbgi,sebagai
sbh,sebuah
sblm,sebelum
sbnrny,sebenarnya
sbntr,sebentar
scam,penipuan palsu
scammer,penipu
scan,pindai
scan muka,pemindaian verifikasi wajah biometrik
scan wajah,pemindaian verifikasi wajah biometrik
scr,secara
screening,skrining riwayat
screening mandiri,skrining mandiri
sdah,sudah
sdgkn,sedangkan
sdh,sudah
sdkt,sedikit
se7,setuju
sebal,sangat sebal
sebel,sangat sebal
sedih,sangat sedih
sekalah,sekolah
sembako,sembilan bahan pokok
sempet,sempat
sempurna,bagus
sendratari,seni drama tari
seneng,sangat senang
seneng bgt,sangat senang
senengg,sangat senang
sengklek,rusak tidak
serta,dan
server down,server sistem perbankan sedang gangguan
server sibuk,server sistem perbankan sedang gangguan
setor tunai,setor uang kas mesin crm
sgera,segera
sgt,sangat
shg,sehingga
shgga,sehingga
sia sia,sama sekali
siapa2,siapa-siapa
sidik jari,autentikasi sidik jari biometrik
siech,sih
sikon,situasi dan kondisi
simpel,sederhana praktis mudah
simpen,simpan
simple,sangat mudah
sinetron,sinema elektronik
sip,bagus
sip bgt,sangat bagus
sipp,bagus
sippp,bagus
siramin,siramkan
sj,saja
skalian,sekalian
sklh,sekolah
skr,sekarang
skrang,sekarang
skrg,sekarang
skrining,skrining riwayat
skrining covid,skrining kesehatan
skrng,sekarang
skt,sakit
slesai,selesai
sll,selalu
slma,selama
slow,lambat
slsai,selesai
sm,sama
sma,sama
smp,sampai
smpai,sampai
smpe,sampai
smpt,sempat
sms otp,kode verifikasi sms otp
sms tidak ada,kode verifikasi
smw,semua
sndiri,sendiri
sob,kawan
spy,supaya
spya,supaya
ssh,sangat sulit
stelah,setelah
stlh,setelah
stuck,aplikasi macet tidak berjalan
stuckk,terhenti macet
subhanallah,sangat kagum
suda,sudah
sudahh,sudah
sukha,fitur lifestyle sukha mandiri
sukha mantap,fitur sukha sangat bermanfaat memuaskan
sukses,sukses berhasil
suksess,sukses berhasil
sulit,sangat sulit
sulitt,sangat sulit
surat rujukan,surat rujukan
susah,sangat sulit
susah bgt,sangat sulit
susahh,sangat sulit
sy,saya
sya,saya
syukur,bersyukur terima
taek,sangat buruk
tagihan,tagihan pembayaran
tahi,sangat buruk
tai,kesal kotor buruk
tak,tidak
tambah anak,penambahan bayi
tambah anggota,penambahan anggota
tambal gigi,layanan poliklinik
tampilkan kartu,tampilan kartu
tanpa kartu,fitur transaksi cardless
tapcash,kartu uang elektronik
tarik tunai,tarik uang kas tanpa kartu
td,tadi
tdi,tadi
tdk,tidak
telfon,telepon
telp,telepon
telpon,telepon
tempel kartu,pindai kartu nfc
tengkyu,terima kasih
terbaikk,sangat terbaik
terimakasih,terima kasih
teruss,terus
tf,transfer uang
tf gagal,transfer transaksi gagal
tf pending,transfer transaksi tertunda
tfr,transfer uang
thanks,terima kasih
the best,terbaik sangat bagus memuaskan
thx,terima kasih
tidak dapat otp,kode verifikasi
time out,koneksi batas waktu request timeout habis
timeout,koneksi batas waktu request timeout habis
tipu,penipuan merugikan
tlg,tolong
tlng,tolong
tlol,sangat bodoh
tlp,telepon
tlpn,telepon
tntg,tentang
tnya,tanya
tolol,buruk bodoh
tololl,sangat bodoh
top,terbaik luar
top bgt,sangat bagus luar biasa terbaik
top markotop,sangat bagus luar biasa terbaik
top up,isi ulang saldo
top up cepet,isi ulang saldo sangat cepat lancar
topup,isi ulang saldo
topupnya,isi ulang saldo
tp,tetapi
tpi,tetapi
transfer gagal,transfer transaksi gagal
transferan,dana transfer
transfr,transfer uang
trf,transfer uang
trima,terima
trimakasih,terima kasih
trims,terima kasih
troubel,error rusak
trouble,error rusak
trs,terus
trsf,transfer uang
trus,terus
truss,terus
trusss,terus
ttg,tentang
ttng,tentang
ttp,tetap
ttpi,tetapi
tulul,buruk bodoh
tunggakan,tunggakan iuran
ty,terima kasih
uang hilang,saldo berkurang tidak masuk
uang kepotong,pemotongan saldo
uang terpotong,pemotongan saldo
ubah,ganti
ubah data,perubahan data
ubah faskes,perubahan fasilitas
uda,sudah
udah,sudah
udh,sudah
ugd,unit gawat
ui ux keren,tampilan antarmuka sangat modern bagus
unblock,buka blokir akun kartu
unfaedah,tidak bermanfaat
uninstal,copot pemasangan
uninstall,copot pemasangan
untk,untuk
update,perbarui
update bukannya bener malah rusak,pembaruan aplikasi membuat performa semakin buruk
updet,perbarui
user friendly,sangat mudah digunakan praktis
utk,untuk
va,nomor pembayaran
valas,rekening valuta asing mandiri
valas oke,layanan valas sangat bagus memuaskan
verif,verifikasi
verif muka,verifikasi wajah biometrik
verif wajah,verifikasi wajah biometrik
verifikasi wajah,verifikasi wajah biometrik
verifkasi,verifikasi
vika,layanan suara
w,saya
wa,pesan whatsapp
wajah tidak terdeteksi,verifikasi wajah biometrik gagal terdeteksi
wkwk,tertawa gembira
wkwkwk,tertawa gembira
wkwkwkwk,tertawa gembira
wtb,beli
wts,jual
wtt,tukar
ya allah,memohon bersyukur
ya ampun,mengeluh kecewa
ya tuhan,mengeluh kecewa
yg,yang
yng,yang
zonk,kosong gagal
zonkk,kosong gagal
zonkkk,kosong gagal
